2025-04-03 00:51:49.231 | INFO     | __main__:<module>:603 - Starting list update process...
2025-04-03 00:51:49.231 | DEBUG    | __main__:appendToLists:329 - Checking articles for list 'infofi'
2025-04-03 00:51:49.335 | INFO     | __main__:appendToLists:356 - List 'infofi': Populated with 67 article paths.
2025-04-03 00:51:49.335 | DEBUG    | __main__:appendToLists:329 - Checking articles for list 'lvr'
2025-04-03 00:51:49.382 | INFO     | __main__:appendToLists:356 - List 'lvr': Populated with 10 article paths.
2025-04-03 00:51:49.385 | INFO     | __main__:modifyListFiles:550 - Processing modifications for list 'infofi' (297 valid items)
2025-04-03 00:51:49.385 | DEBUG    | __main__:_schedule_tasks_and_update_existing:397 - Using existing EPUB for 2212.00271v1.pdf: 2212.00271v1.epub
2025-04-03 00:51:49.385 | DEBUG    | __main__:_schedule_tasks_and_update_existing:397 - Using existing EPUB for A Simple Decision Market Model.pdf: A Simple Decision Market Model.epub
2025-04-03 00:51:49.385 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for Drift dAMM deep dive.pdf
2025-04-03 00:51:49.385 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: Drift dAMM deep dive.pdf -> Drift dAMM deep dive.epub
2025-04-03 00:51:49.385 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for Drift dAMM deep dive.pdf
2025-04-03 00:51:49.385 | DEBUG    | __main__:_schedule_tasks_and_update_existing:397 - Using existing EPUB for Proteus_AMM_Engine_-_Shell_v2_Part_1.pdf: Proteus_AMM_Engine_-_Shell_v2_Part_1.epub
2025-04-03 00:51:49.385 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for Arbius A Decentralized Machine Learning Network w_1.pdf
2025-04-03 00:51:49.386 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: Arbius A Decentralized Machine Learning Network w_1.pdf -> Arbius A Decentralized Machine Learning Network w_1.epub
2025-04-03 00:51:49.386 | DEBUG    | __main__:_schedule_tasks_and_update_existing:397 - Using existing EPUB for Litepaper (1).pdf: Litepaper (1).epub
2025-04-03 00:51:49.386 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for Arbius A Decentralized Machine Learning Network w_1.pdf
2025-04-03 00:51:49.387 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for AnyHedge Whitepaper.pdf
2025-04-03 00:51:49.387 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: AnyHedge Whitepaper.pdf -> AnyHedge Whitepaper.epub
2025-04-03 00:51:49.387 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for abernethy2013.pdf
2025-04-03 00:51:49.387 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for AnyHedge Whitepaper.pdf
2025-04-03 00:51:49.388 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: abernethy2013.pdf -> abernethy2013.epub
2025-04-03 00:51:49.388 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for abernethy2013.pdf
2025-04-03 00:51:49.388 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for LAMMbert.pdf
2025-04-03 00:51:49.388 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: LAMMbert.pdf -> LAMMbert.epub
2025-04-03 00:51:49.389 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for Panoptic the perpetual oracle-free options proto.pdf
2025-04-03 00:51:49.389 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for LAMMbert.pdf
2025-04-03 00:51:49.389 | DEBUG    | __main__:_schedule_tasks_and_update_existing:402 - Scheduling PDF->EPUB conversion for vega-protocol-whitepaper.pdf
2025-04-03 00:51:49.390 | INFO     | __main__:_process_pdf_futures:429 - Waiting for 7 PDF conversion tasks...
2025-04-03 00:51:50.308 | DEBUG    | __main__:_mineru_get_upload_info:129 - Obtained batch_id: acb5480b-582f-411b-a48d-5fc6038684c2 for LAMMbert.pdf
